,PLAYER,POS,AGE,TEAM,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg,SEASON
131,Russell Westbrook,PG,30,OKC,5,5,197,9.8,27.1,.360,2.7,8.3,.324,7.1,18.8,.377,5.6,6.3,.885,1.7,9.0,10.7,12.9,1.2,0.7,5.6,4.6,27.8,,99,111,2018-19
132,D.J. Augustin,PG,31,ORL,5,5,141,7.1,14.6,.488,3.6,7.5,.476,3.6,7.1,.500,5.0,5.7,.875,0.4,2.5,2.8,6.8,0.7,0.4,2.5,2.5,22.8,,126,116,2018-19
133,Khem Birch,C,26,ORL,5,0,92,5.5,9.8,.556,0.0,0.0,,5.5,9.8,.556,3.3,3.8,.857,4.9,12.0,16.9,2.2,0.5,2.7,3.3,4.4,14.2,,110,109,2018-19
134,Michael Carter-Williams,PG,27,ORL,5,0,92,6.5,16.9,.387,1.1,4.4,.250,5.5,12.5,.435,3.8,4.4,.875,1.1,9.8,10.9,6.5,1.6,0.0,4.4,6.5,18.0,,91,111,2018-19
135,Evan Fournier,SG,26,ORL,5,5,175,6.9,19.8,.348,2.3,9.7,.235,4.6,10.0,.457,1.7,2.3,.750,0.9,3.7,4.6,2.9,2.0,0.0,3.4,4.0,17.8,,80,113,2018-19
136,Melvin Frazier,SG,22,ORL,3,0,15,6.7,16.7,.400,0.0,0.0,,6.7,16.7,.400,3.3,6.7,.500,3.3,10.0,13.4,0.0,3.3,0.0,0.0,0.0,16.7,,95,107,2018-19
137,Aaron Gordon,PF,23,ORL,5,5,164,8.9,19.0,.468,2.4,6.1,.400,6.4,12.8,.500,3.1,5.8,.526,3.4,7.6,11.0,5.5,1.8,0.3,4.0,4.9,23.2,,102,111,2018-19
138,Jerian Grant,PG,26,ORL,3,0,14,7.2,35.8,.200,0.0,25.1,.000,7.2,10.8,.667,3.6,3.6,1.000,0.0,14.3,14.3,10.8,0.0,0.0,3.6,3.6,17.9,,60,113,2018-19
139,Jonathan Isaac,PF,21,ORL,5,5,137,4.0,14.6,.275,1.5,7.3,.200,2.6,7.3,.350,2.6,2.9,.875,3.7,7.7,11.4,0.7,0.7,1.8,1.8,3.3,12.1,,82,111,2018-19
140,Wesley Iwundu,SF,24,ORL,5,0,60,5.0,15.1,.333,2.5,7.5,.333,2.5,7.5,.333,7.5,7.5,1.000,0.0,5.9,5.9,3.3,2.5,0.0,1.7,3.3,20.1,,111,111,2018-19
141,Jarell Martin,PF,24,ORL,3,0,18,11.1,25.1,.444,5.6,19.5,.286,5.6,5.6,1.000,0.0,5.6,.000,2.8,2.8,5.6,2.8,0.0,2.8,0.0,2.8,27.9,,104,114,2018-19
142,Terrence Ross,SG,27,ORL,5,0,146,6.9,18.6,.370,4.1,12.0,.343,2.7,6.5,.421,4.8,5.8,.824,0.3,5.8,6.2,2.4,2.1,0.7,3.4,3.4,22.7,,96,111,2018-19
